Zip,Population,City,State
19437,714,Gwynedd Valley,PA
18087,716,Trexlertown,PA
41503,732,South Williamson,KY
11765,732,Mill Neck,NY
06103,761,Hartford,CT
07878,774,Mount Tabor,NJ
30545,783,Helen,GA
93606,788,Biola,CA
95303,798,Ballico,CA
21737,828,Glenelg,MD
41527,872,Forest Hills,KY
10005,884,New York,NY
99125,887,Endicott,WA
60512,892,Bristol,IL
50323,957,Urbandale,IA
08887,994,Three Bridges,NJ
92091,1061,Rancho Santa Fe,CA
02163,1191,Boston,MA
43240,1193,Columbus,OH
10546,1224,Millwood,NY
10004,1225,New York,NY
40510,1236,Lexington,KY
10964,1282,Palisades,NY
75251,1331,Dallas,TX
22027,1377,Dunn Loring,VA
30602,1400,Athens,GA
10069,1403,New York,NY
10006,1447,New York,NY
30346,1452,Atlanta,GA
07847,1498,Kenvil,NJ
14804,1522,Almond,NY
10282,1574,New York,NY
18219,1589,Conyngham,PA
19453,1608,Mont Clare,PA
84112,1648,Salt Lake City,UT
07620,1649,Alpine,NJ
60606,1682,Chicago,IL
20759,1684,Fulton,MD
94304,1704,Palo Alto,CA
30322,1724,Atlanta,GA
14814,1747,Big Flats,NY
18321,1753,Bartonsville,PA
20861,1767,Ashton,MD
60192,1775,Hoffman Estates,IL
10976,1795,Sparkill,NY
61845,1839,Foosland,IL
10973,1887,Slate Hill,NY
93616,1957,Del Rey,CA
20818,1987,Cabin John,MD
20841,2025,Boyds,MD
37614,2036,Johnson City,TN
94105,2058,San Francisco,CA
08535,2073,Millstone Township,NJ
73128,2137,Oklahoma City,OK
60301,2158,Oak Park,IL
02142,2258,Cambridge,MA
10984,2298,Thiells,NY
02763,2339,Attleboro Falls,MA
52401,2392,Cedar Rapids,IA
06510,2398,New Haven,CT
10968,2424,Piermont,NY
20763,2438,Savage,MD
11548,2514,Greenvale,NY
33620,2532,Tampa,FL
07852,2558,Ledgewood,NJ
30079,2563,Scottdale,GA
07721,2573,Cliffwood,NJ
76155,2626,Fort Worth,TX
01103,2661,Springfield,MA
75182,2703,Sunnyvale,TX
92602,2754,Irvine,CA
07074,2754,Moonachie,NJ
75039,2816,Irving,TX
89501,2877,Reno,NV
44040,2883,Gates Mills,OH
07946,3000,Millington,NJ
08832,3018,Keasbey,NJ
20777,3074,Highland,MD
76798,3123,Waco,TX
35824,3146,Huntsville,AL
07927,3163,Cedar Knolls,NJ
01608,3195,Worcester,MA
75094,3229,Plano,TX
10926,3275,Harriman,NY
23186,3307,Williamsburg,VA
38677,3329,University,MS
94111,3335,San Francisco,CA
07856,3463,Mount Arlington,NJ
78732,3629,Austin,TX
78256,3644,San Antonio,TX
01375,3776,Sunderland,MA
78701,3855,Austin,TX
08836,3962,Martinsville,NJ
11568,3992,Old Westbury,NY
20166,4030,Sterling,VA
11020,4043,Great Neck,NY
48109,4152,Ann Arbor,MI
12084,4214,Guilderland,NY
92121,4248,San Diego,CA
10018,4255,New York,NY
93660,4311,San Joaquin,CA
93252,4342,Maricopa,CA
61874,4355,Savoy,IL
60661,4382,Chicago,IL
19102,4396,Philadelphia,PA
07014,4442,Clifton,NJ
08880,4492,South Bound Brook,NJ
57049,4507,North Sioux City,SD
85045,4558,Phoenix,AZ
95064,4559,Santa Cruz,CA
63103,4603,Saint Louis,MO
60461,4637,Olympia Fields,IL
60203,4691,Evanston,IL
01741,4717,Carlisle,MA
07082,4723,Towaco,NJ
07640,4740,Harrington Park,NJ
07627,4845,Demarest,NJ
07647,4851,Northvale,NJ
01719,4868,Boxborough,MA
78730,4885,Austin,TX
08518,4925,Florence,NJ
10502,4935,Ardsley,NY
20769,4942,Glenn Dale,MD
11804,5014,Old Bethpage,NY
10913,5076,Blauvelt,NY
08558,5202,Skillman,NJ
07058,5207,Pine Brook,NJ
60163,5212,Berkeley,IL
11514,5214,Carle Place,NY
08091,5237,West Berlin,NJ
68102,5240,Omaha,NE
07632,5322,Englewood Cliffs,NJ
93609,5434,Caruthers,CA
13202,5434,Syracuse,NY
07662,5528,Rochelle Park,NJ
10962,5580,Orangeburg,NY
60601,5591,Chicago,IL
93625,5616,Fowler,CA
07648,5756,Norwood,NJ
10983,5756,Tappan,NY
12305,5922,Schenectady,NY
92861,5932,Villa Park,CA
06333,5966,East Lyme,CT
07738,6223,Lincroft,NJ
92618,6297,Irvine,CA
79121,6332,Amarillo,TX
02461,6344,Newton Highlands,MA
20833,6359,Brookeville,MD
06901,6398,Stamford,CT
07310,6416,Jersey City,NJ
08869,6431,Raritan,NJ
78726,6480,Austin,TX
10994,6493,West Nyack,NY
18069,6585,Orefield,PA
44304,6595,Akron,OH
10280,6614,New York,NY
19041,6652,Haverford,PA
55454,6772,Minneapolis,MN
12204,6792,Albany,NY
07041,6880,Millburn,NJ
11363,6917,Little Neck,NY
95212,6934,Stockton,CA
46278,6998,Indianapolis,IN
95139,7006,San Jose,CA
02881,7030,Kingston,RI
07645,7034,Montvale,NJ
11516,7068,Cedarhurst,NY
95324,7157,Hilmar,CA
07023,7174,Fanwood,NJ
07630,7197,Emerson,NJ
08810,7235,Dayton,NJ
08823,7389,Franklin Park,NJ
19333,7408,Devon,PA
10533,7464,Irvington,NY
48120,7480,Dearborn,MI
10523,7489,Elmsford,NY
10607,7493,White Plains,NY
06269,7533,Storrs Mansfield,CT
21029,7616,Clarksville,MD
07075,7644,Wood Ridge,NJ
12159,7646,Slingerlands,NY
07020,7677,Edgewater,NJ
55121,7714,Saint Paul,MN
07626,7746,Cresskill,NJ
11507,7755,Albertson,NY
77094,7779,Houston,TX
43617,7808,Toledo,OH
46814,7884,Fort Wayne,IN
07921,7896,Bedminster,NJ
11557,7966,Hewlett,NY
66219,8014,Lenexa,KS
78717,8148,Austin,TX
94710,8149,Berkeley,CA
44115,8186,Cleveland,OH
06906,8208,Stamford,CT
07603,8249,Bogota,NJ
75001,8259,Addison,TX
40513,8300,Lexington,KY
43054,8347,New Albany,OH
07981,8364,Whippany,NJ
23836,8377,Chester,VA
95834,8392,Sacramento,CA
06268,8446,Storrs Mansfield,CT
34786,8449,Windermere,FL
94572,8487,Rodeo,CA
01863,8511,North Chelmsford,MA
60162,8513,Hillside,IL
64112,8567,Kansas City,MO
78739,8643,Austin,TX
95953,8686,Live Oak,CA
07073,8716,East Rutherford,NJ
78733,8716,Austin,TX
07624,8912,Closter,NJ
07605,8914,Leonia,NJ
10920,8937,Congers,NY
10601,8991,White Plains,NY
11797,9005,Woodbury,NY
49931,9006,Houghton,MI
06907,9007,Stamford,CT
11777,9025,Port Jefferson,NY
95832,9059,Sacramento,CA
16802,9172,University Park,PA
10706,9187,Hastings On Hudson,NY
10970,9222,Pomona,NY
60422,9224,Flossmoor,IL
60490,9263,Bolingbrook,IL
10923,9273,Garnerville,NY
15071,9287,Oakdale,PA
07034,9320,Lake Hiawatha,NJ
02903,9342,Providence,RI
10989,9381,Valley Cottage,NY
77068,9505,Houston,TX
98148,9519,Seattle,WA
10044,9520,New York,NY
07607,9523,Maywood,NJ
95134,9643,San Jose,CA
45434,9643,Dayton,OH
61606,9674,Peoria,IL
43210,9728,Columbus,OH
95948,9747,Gridley,CA
72212,9859,Little Rock,AR
03755,9877,Hanover,NH
91381,9919,Stevenson Ranch,CA
01862,9960,North Billerica,MA
10510,9963,Briarcliff Manor,NY
60143,10021,Itasca,IL
95119,10137,San Jose,CA
94709,10140,Berkeley,CA
95315,10141,Delhi,CA
60523,10231,Oak Brook,IL
08512,10238,Cranbury,NJ
73116,10243,Oklahoma City,OK
27560,10320,Morrisville,NC
33716,10409,Saint Petersburg,FL
07417,10422,Franklin Lakes,NJ
10604,10430,West Harrison,NY
07045,10531,Montville,NJ
11596,10572,Williston Park,NY
10522,10622,Dobbs Ferry,NY
94065,10656,Redwood City,CA
12211,10684,Albany,NY
48377,10759,Novi,MI
53717,10772,Madison,WI
07643,10800,Little Ferry,NJ
95330,10819,Lathrop,CA
02120,10842,Boston,MA
02114,10868,Boston,MA
48211,10886,Detroit,MI
92610,10934,Foothill Ranch,CA
79401,10936,Lubbock,TX
07035,10938,Lincoln Park,NJ
07458,10939,Saddle River,NJ
07661,10946,River Edge,NJ
77030,10984,Houston,TX
08691,11010,Trenton,NJ
30313,11035,Atlanta,GA
44321,11076,Akron,OH
02467,11078,Chestnut Hill,MA
94542,11145,Hayward,CA
07876,11171,Succasunna,NJ
49512,11195,Grand Rapids,MI
55435,11268,Minneapolis,MN
95829,11380,Sacramento,CA
07936,11393,East Hanover,NJ
11755,11402,Lake Grove,NY
07974,11405,New Providence,NJ
02493,11469,Weston,MA
20866,11470,Burtonsville,MD
77494,11505,Katy,TX
32603,11539,Gainesville,FL
08534,11556,Pennington,NJ
07057,11583,Wallington,NJ
22209,11622,Arlington,VA
75013,11624,Allen,TX
60176,11636,Schiller Park,IL
76123,11636,Fort Worth,TX
08031,11639,Bellmawr,NJ
11753,11648,Jericho,NY
07604,11662,Hasbrouck Heights,NJ
08863,11698,Fords,NJ
21210,11733,Baltimore,MD
08824,11777,Kendall Park,NJ
15232,11792,Pittsburgh,PA
11576,11810,Roslyn,NY
48374,11994,Novi,MI
10514,12004,Chappaqua,NY
02141,12041,Cambridge,MA
60173,12046,Schaumburg,IL
08805,12053,Bound Brook,NJ
11545,12073,Glen Head,NY
66214,12099,Overland Park,KS
32836,12109,Orlando,FL
10803,12124,Pelham,NY
11577,12176,Roslyn Heights,NY
07012,12179,Clifton,NJ
07836,12217,Flanders,NJ
06110,12234,West Hartford,CT
08853,12241,Neshanic Station,NJ
07009,12300,Cedar Grove,NJ
19107,12340,Philadelphia,PA
10570,12366,Pleasantville,NY
60712,12371,Lincolnwood,IL
07922,12412,Berkeley Heights,NJ
60605,12423,Chicago,IL
02482,12445,Wellesley,MA
10530,12453,Hartsdale,NY
02452,12457,Waltham,MA
55446,12464,Minneapolis,MN
33637,12534,Tampa,FL
08812,12566,Dunellen,NJ
08203,12594,Brigantine,NJ
95334,12666,Livingston,CA
20194,12666,Reston,VA
15668,12723,Murrysville,PA
49103,12756,Berrien Springs,MI
07078,12849,Short Hills,NJ
66223,12862,Overland Park,KS
07660,12873,Ridgefield Park,NJ
07828,12882,Budd Lake,NJ
30039,12906,Snellville,GA
08406,12910,Ventnor City,NJ
95054,13013,Santa Clara,CA
55344,13022,Eden Prairie,MN
